左營,台南,嘉義,雲林,彰化,台中,苗栗,新竹,桃園,板橋,台北,南港,車次,行駛日, 
Zouying,Tainan,Chiayi,Yunlin,Changhua,Taichung,Miaoli,Hsinchu,Taoyuan,Banqiao,Taipei,Nangang,car,day, 
22:10,22:23,,,,23:03,,,,23:42,23:52,23:59,294,1234567, 
22:55,23:08,23:27,23:39,23:49,23:59,,,,,,,598,1234567, 
南港,台北,板橋,桃園,新竹,苗栗,台中,彰化,雲林,嘉義,台南,左營,車次,行駛日, 
Nangang,Taipei,Banqiao,Taoyuan,Hsinchu,Miaoli,Taichung,Changhua,Yunlin,Chiayi,Tainan,Zouying,car,day, 
,,,,,,6:25,6:37,6:47,6:59,7:17,7:30,583,1234567, 
6:15,6:26,6:34,6:49,7:02,7:13,7:32,7:45,7:56,8:10,8:28,8:40,803,1234567, 
,6:30,6:38,,,,7:20,,,7:45,8:03,8:15,203,1234567, 
6:40,6:51,7:00,7:15,7:27,,7:53,,,8:19,8:38,8:50,603,1234567, 
7:00,7:11,7:19,7:34,7:47,7:58,8:17,8:30,8:41,8:55,9:13,9:25,805,1234567, 
7:10,7:21,7:29,7:43,7:56,,8:25,,,8:50,9:07,9:20,1607,6, 
7:20,7:31,7:39,,,,8:20,,,,,9:05,109,1234567, 
7:25,7:36,7:46,8:01,8:12,8:25,8:42,,,,,,1505,123456, 
7:35,7:46,7:55,8:10,8:22,,8:48,,,9:14,9:33,9:45,609,1234567, 
7:40,7:51,7:59,,,,8:40,,,,9:18,9:30,205,1234567, 
7:50,8:01,,8:20,,,8:54,9:06,9:17,9:30,9:48,10:00,1305,5, 
8:00,8:11,8:19,8:34,8:47,8:58,9:17,9:30,9:41,9:55,10:13,10:25,809,1234567, 
8:10,8:21,8:29,8:43,8:56,,9:25,,,9:50,10:07,10:20,613,1234567, 
8:20,8:31,8:39,,,,9:20,,,,,10:05,113,1234567, 
8:25,8:36,8:46,9:01,9:12,9:25,9:42,,,,,,1509,46, 
8:35,8:46,8:55,9:10,9:22,,9:48,,,10:14,10:33,10:45,615,1234567, 
8:40,8:51,8:59,,,,9:40,,,,10:18,10:30,1209,6, 
8:50,9:01,,9:20,,,9:54,10:06,10:17,10:30,10:48,11:00,1307,1236, 
9:00,9:11,9:19,9:34,9:47,9:58,10:17,10:30,10:41,10:55,11:13,11:25,813,1234567, 
9:10,9:21,9:29,9:43,9:56,,10:25,,,10:50,11:07,11:20,619,1234567, 
9:20,9:31,9:39,,,,10:20,,,,,11:05,117,1234567, 
9:25,9:36,9:46,10:01,10:12,10:25,10:42,,,,,,1513,6, 
9:35,9:46,9:55,10:10,10:22,,10:48,,,11:14,11:33,11:45,621,1234567, 
9:40,9:51,9:59,,,,10:40,,,,11:18,11:30,1213,6, 
9:50,10:01,,10:20,,,10:54,11:06,11:17,11:30,11:48,12:00,1309,6, 
10:00,10:11,10:19,10:34,10:47,10:58,11:17,11:30,11:41,11:55,12:13,12:25,817,1234567, 
10:10,10:21,10:29,10:43,10:56,,11:25,,,11:50,12:07,12:20,625,1234567, 
10:20,10:31,10:39,,,,11:20,,,,,12:05,121,1234567, 
10:35,10:46,10:55,11:10,11:22,,11:48,,,12:14,12:33,12:45,627,1234567, 
10:40,10:51,10:59,,,,11:40,,,,12:18,12:30,1217,6, 
11:00,11:11,11:19,11:34,11:47,11:58,12:17,12:30,12:41,12:55,13:13,13:25,821,1234567, 
11:10,11:21,11:29,11:43,11:56,,12:25,,,12:50,13:07,13:20,1631,6, 
11:20,11:31,11:39,,,,12:20,,,,,13:05,125,1234567, 
11:35,11:46,11:55,12:10,12:22,,12:48,,,13:14,13:33,13:45,633,1234567, 
12:00,12:11,12:19,12:34,12:47,12:58,13:17,13:30,13:41,13:55,14:13,14:25,825,1234567, 
12:10,12:21,12:29,12:43,12:56,,13:25,,,13:50,14:07,14:20,1637,6, 
12:20,12:31,12:39,,,,13:20,,,,,14:05,129,1234567, 
12:35,12:46,12:55,13:10,13:22,,13:48,,,14:14,14:33,14:45,639,1234567, 
13:00,13:11,13:19,13:34,13:47,13:58,14:17,14:30,14:41,14:55,15:13,15:25,829,1234567, 
13:10,13:21,13:29,13:43,13:56,,14:25,,,14:50,15:07,15:20,1643,567, 
13:20,13:31,13:39,,,,14:20,,,,,15:05,133,1234567, 
